cegme	training	ashton kutcher	I couldn't image ██████████████ in a serious role, but his performance truly
usma92	testing	Dean Jagger	While nice guy ███████████ (sporting lots of hair) did his best to get this done, there was a bad guy just waiting to undo this for his own selfish reasons.
usma92	testing	Clive Barker	████████████, the man who brought "Hellraiser", makes a horror movie that is part-Goth, part-Mythology, and all horror in-between.
usma92	testing	Danny Elfman	The ████████████ composed score is as good as it gets, and is among his best work.
usma92	testing	Doug Bradley	The rest of the cast, which includes ████████████ is very good, save for the ridiculously over the top redneck sheriff.
usma92	testing	David Cronenberg	I love this movie, even though, as many of the reviewers have noted, the expressions of the actors (with the exception of ████████████████, who does a wonderful appearance) are rather tacky.
usma92	testing	Vincent D'Onofrio	On the outside, this film is better because of █████████████████ (Law & Order: Criminal Intent), but this film is equally as good as the 1982 version.
usma92	testing	Shemp	One of My favorite Stooges shorts with █████ is none other than Brideless Groom!
usma92	testing	Curly	I prescribe 'Brideless Groom' as medicine for anyone who thinks the Stooges' glory years ended when █████ left.
xingqidi	training	Brokeback Mountain	I have recently seen this movie due to Jake's recent success with ██████████████████.
xingqidi	training	Darth Vader	His journey carries the movie as he moves closer to his confrontation with ███████████ and his fate.
xingqidi	training	Al Pacino	And of course you have █████████ in a rather small supporting role but he's absolutely brilliant at it and outshines and overshadows every other actor in the film.
